SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
585,TG,Telangana,TG_Khammam,Khammam,17,14,3,0,0,0,0,0,0,,
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,13,11,2,0,0,6,6,0,0,,
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,2,1,1,0,0,0,0,0,0,,
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,18,10,8,0,0,1,1,0,0,,
589,TG,Telangana,TG_Mancherial,Mancherial,2,1,0,1,0,0,0,0,0,,
590,TG,Telangana,TG_Medak,Medak,12,8,4,0,0,0,0,0,0,,
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,50,40,9,1,0,2,2,0,0,,
592,TG,Telangana,TG_Mulugu,Mulugu,2,0,2,0,0,0,0,0,0,,
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,3,1,2,0,0,0,0,0,0,,
594,TG,Telangana,TG_Nalgonda,Nalgonda,22,10,12,0,0,0,0,0,0,,
595,TG,Telangana,TG_Narayanpet,Narayanpet,2,1,0,1,0,0,0,0,0,,
596,TG,Telangana,TG_Nirmal,Nirmal,21,8,13,0,0,0,0,0,0,,
597,TG,Telangana,TG_Nizamabad,Nizamabad,62,32,30,0,0,0,0,0,0,,
598,TG,Telangana,TG_Peddapalli,Peddapalli,3,2,1,0,0,0,0,0,0,,
599,TG,Telangana,TG_Rajanna Sircilla,Rajanna Sircilla,5,3,2,0,0,2,2,0,0,,
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,131,112,17,2,0,6,6,0,0,,
601,TG,Telangana,TG_Sangareddy,Sangareddy,17,11,6,0,0,0,0,0,0,,
602,TG,Telangana,TG_Siddipet,Siddipet,2,1,1,0,0,0,0,0,0,,
603,TG,Telangana,TG_Suryapet,Suryapet,86,62,24,0,0,0,0,0,0,,
604,TG,Telangana,TG_Vikarabad,Vikarabad,39,23,15,1,0,0,0,0,0,,
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,1,1,0,0,0,0,0,0,0,,
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,0,0,0,0,0,0,0,0,0,,
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,30,7,23,0,0,0,0,0,0,,
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,2,2,0,0,0,1,1,0,0,,
0,TN,Tamil Nadu,TN_Railway Quarantine,Railway Quarantine,205,183,22,0,0,0,-1,1,0,,
0,TN,Tamil Nadu,TN_Airport Quarantine,Airport Quarantine,126,94,32,0,0,19,19,0,0,,
0,TN,Tamil Nadu,TN_Other State,Other State,3,0,0,3,0,0,0,0,0,,
544,TN,Tamil Nadu,TN_Ariyalur,Ariyalur,370,11,359,0,0,0,0,0,0,,
732,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,1363,682,671,10,0,61,51,10,0,,
545,TN,Tamil Nadu,TN_Chennai,Chennai,17587,8400,9034,153,0,1012,532,480,0,,
546,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,159,14,144,1,0,9,9,0,0,,
547,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,470,37,432,1,0,6,-5,11,0,,
548,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,9,4,5,0,0,1,1,0,0,,
549,TN,Tamil Nadu,TN_Dindigul,Dindigul,146,21,123,2,0,0,0,0,0,,
550,TN,Tamil Nadu,TN_Erode,Erode,74,3,70,1,0,0,0,0,0,,
734,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,259,114,145,0,0,4,-5,9,0,,
551,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,441,172,267,2,0,19,6,13,0,,
552,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,81,37,43,1,0,1,-3,4,0,,
553,TN,Tamil Nadu,TN_Karur,Karur,82,4,78,0,0,1,-1,2,0,,
554,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,28,8,20,0,0,0,0,0,0,,
555,TN,Tamil Nadu,TN_Madurai,Madurai,286,106,177,3,0,7,4,3,0,,
556,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,64,13,51,0,0,1,1,0,0,,
557,TN,Tamil Nadu,TN_Namakkal,Namakkal,83,5,77,1,0,1,1,0,0,,
564,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,15,1,14,0,0,0,0,0,0,,
558,TN,Tamil Nadu,TN_Perambalur,Perambalur,143,4,139,0,0,0,0,0,0,,
559,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,28,9,18,1,0,0,0,0,0,,
560,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,92,37,54,1,0,5,3,2,0,,
733,TN,Tamil Nadu,TN_Ranipet,Ranipet,108,23,85,0,0,5,5,0,0,,
561,TN,Tamil Nadu,TN_Salem,Salem,223,169,54,0,0,3,3,0,0,,
562,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,35,6,29,0,0,0,-1,1,0,,
731,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,94,21,73,0,0,4,-1,5,0,,
563,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,102,22,80,0,0,6,5,1,0,,
565,TN,Tamil Nadu,TN_Theni,Theni,115,14,99,2,0,1,0,1,0,,
566,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,1081,441,630,10,0,58,44,14,0,,
567,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,51,15,36,0,0,2,2,0,0,,
568,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,295,136,157,2,0,17,9,8,0,,
569,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,97,21,76,0,0,0,-6,6,0,,
570,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,384,104,279,1,0,12,9,3,0,,
735,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,42,13,29,0,0,4,3,1,0,,
571,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,114,0,114,0,0,0,0,0,0,,
572,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,461,309,150,2,0,21,17,4,0,,
573,TN,Tamil Nadu,TN_Vellore,Vellore,51,13,37,1,0,4,1,3,0,,
574,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,377,52,323,2,0,1,1,0,0,,
575,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,128,38,90,0,0,1,-27,28,0,,
609,TR,Tripura,TR_Dhalai,Dhalai,194,31,163,0,0,0,0,0,0,,
610,TR,Tripura,TR_Gomati,Gomati,51,49,2,0,0,0,0,0,0,,
611,TR,Tripura,TR_Khowai,Khowai,16,15,1,0,0,0,0,0,0,,
612,TR,Tripura,TR_North Tripura,North Tripura,9,5,4,0,0,0,0,0,0,,
613,TR,Tripura,TR_Sipahijala,Sipahijala,102,100,2,0,0,0,0,0,0,,
614,TR,Tripura,TR_South Tripura,South Tripura,30,30,0,0,0,0,0,0,0,,
615,TR,Tripura,TR_Unokoti,Unokoti,47,46,1,0,0,0,0,0,0,,
616,TR,Tripura,TR_West Tripura,West Tripura,22,22,0,0,0,0,0,0,0,,
617,UP,Uttar Pradesh,UP_Agra,Agra,904,89,770,45,0,8,8,0,0,,
618,UP,Uttar Pradesh,UP_Aligarh,Aligarh,170,66,88,16,0,8,7,1,0,,
619,UP,Uttar Pradesh,UP_Ambedkar Nagar,Ambedkar Nagar,70,40,27,3,0,0,0,0,0,,
620,UP,Uttar Pradesh,UP_Amethi,Amethi,171,142,29,0,0,0,0,0,0,,
621,UP,Uttar Pradesh,UP_Amroha,Amroha,68,33,34,1,0,0,0,0,0,,
622,UP,Uttar Pradesh,UP_Auraiya,Auraiya,35,13,22,0,0,2,1,1,0,,
765,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,116,65,48,3,0,0,0,0,0,,
623,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,125,109,14,2,0,3,3,0,0,,
624,UP,Uttar Pradesh,UP_Baghpat,Baghpat,46,19,26,1,0,2,2,0,0,,
625,UP,Uttar Pradesh,UP_Bahraich,Bahraich,90,28,62,0,0,2,2,0,0,,
626,UP,Uttar Pradesh,UP_Ballia,Ballia,56,29,27,0,0,0,0,0,0,,
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,44,14,30,0,0,1,1,0,0,,
628,UP,Uttar Pradesh,UP_Banda,Banda,25,2,23,0,0,0,0,0,0,,
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,163,31,131,1,0,0,0,0,0,,
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,62,40,20,2,0,0,0,0,0,,
631,UP,Uttar Pradesh,UP_Basti,Basti,209,163,42,4,0,0,0,0,0,,
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,43,36,7,0,0,0,0,0,0,,
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,116,51,63,2,0,2,2,0,0,,
634,UP,Uttar Pradesh,UP_Budaun,Budaun,41,7,34,0,0,0,0,0,0,,
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,157,58,97,2,0,19,17,2,0,,
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,26,11,15,0,0,0,-1,1,0,,
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,41,20,19,2,0,3,3,0,0,,
638,UP,Uttar Pradesh,UP_Deoria,Deoria,101,73,27,1,0,0,0,0,0,,
639,UP,Uttar Pradesh,UP_Etah,Etah,42,27,11,4,0,4,3,1,0,,
640,UP,Uttar Pradesh,UP_Etawah,Etawah,57,30,26,1,0,0,-16,16,0,,
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,41,21,19,1,0,3,3,0,0,,
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,55,26,29,0,0,1,1,0,0,,
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,288,73,202,13,0,1,1,0,0,,
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,528,222,299,7,0,2,-8,10,0,,
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,348,122,221,5,0,3,-1,4,0,,
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,134,66,68,0,0,7,7,0,0,,
648,UP,Uttar Pradesh,UP_Gonda,Gonda,70,26,44,0,0,2,2,0,0,,
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,114,79,29,6,0,3,-1,4,0,,
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,5,1,4,0,0,0,0,0,0,,
651,UP,Uttar Pradesh,UP_Hapur,Hapur,150,69,79,2,0,1,1,0,0,,
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,77,58,19,0,0,16,16,0,0,,
653,UP,Uttar Pradesh,UP_Hathras,Hathras,35,15,20,0,0,1,1,0,0,,
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,44,1,41,2,0,0,0,0,0,,
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,193,97,93,3,0,10,9,1,0,,
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,43,12,26,5,0,0,0,0,0,,
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,72,47,25,0,0,0,0,0,0,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,20,11,8,1,0,0,-2,2,0,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,389,70,306,13,0,1,1,0,0,,
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,20,7,13,0,0,0,0,0,0,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,49,2,47,0,0,0,-4,4,0,,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,27,18,7,2,0,0,-1,1,0,,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,70,28,42,0,0,1,1,0,0,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,3,2,0,1,0,0,0,0,0,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,409,99,306,4,0,4,4,0,0,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,66,39,26,1,0,2,2,0,0,,
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,12,8,3,1,0,0,0,0,0,,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,54,26,26,2,0,0,0,0,0,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,83,25,52,6,0,0,0,0,0,,
670,UP,Uttar Pradesh,UP_Mau,Mau,43,32,10,1,0,4,3,0,1,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,468,112,327,29,0,7,3,4,0,,
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,35,13,22,0,0,1,1,0,0,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,238,67,161,10,0,0,0,0,0,,
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,95,49,45,1,0,0,-17,17,0,,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,47,10,37,0,0,0,0,0,0,,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,79,32,44,3,0,0,-1,1,0,,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,109,39,67,3,0,3,3,0,0,,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,73,14,58,1,0,1,1,0,0,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,187,80,106,1,0,3,3,0,0,,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,261,44,217,0,0,0,0,0,0,,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,113,56,56,1,0,0,0,0,0,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,117,70,41,6,0,0,-5,5,0,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,31,17,14,0,0,0,0,0,0,,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,47,11,36,0,0,0,0,0,0,,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,34,13,20,1,0,0,0,0,0,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,137,86,49,2,0,9,4,5,0,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,42,3,39,0,0,0,0,0,0,,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,9,6,3,0,0,0,0,0,0,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,90,64,26,0,0,0,0,0,0,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,41,25,14,2,0,1,1,0,0,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,197,74,119,4,0,0,-1,1,0,,
692,UT,Uttarakhand,UT_Almora,Almora,63,52,11,0,0,0,0,0,0,,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,21,15,6,0,0,0,0,0,0,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,23,23,0,0,0,4,4,0,0,,
695,UT,Uttarakhand,UT_Champawat,Champawat,33,25,7,1,0,0,0,0,0,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,287,235,44,5,3,8,4,3,1,,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,86,73,13,0,0,9,9,0,0,,
698,UT,Uttarakhand,UT_Nainital,Nainital,286,167,118,1,0,1,0,1,0,,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,38,33,4,1,0,1,4,-3,0,,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,27,27,0,0,0,0,0,0,0,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,8,8,0,0,0,0,0,0,0,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,91,86,5,0,0,0,-5,5,0,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,82,38,44,0,0,0,-1,1,0,,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,21,14,7,0,0,0,0,0,0,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,8,8,0,0,0,3,3,0,0,,
706,WB,West Bengal,WB_Bankura,Bankura,71,52,19,0,0,15,14,1,0,,
707,WB,West Bengal,WB_Birbhum,Birbhum,167,77,89,1,0,1,-13,14,0,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,132,132,0,0,0,14,14,0,0,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,40,34,6,0,0,7,7,0,0,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,50,39,9,2,0,12,11,0,1,,
711,WB,West Bengal,WB_Hooghly,Hooghly,382,209,162,11,0,38,38,0,0,,
712,WB,West Bengal,WB_Howrah,Howrah,1214,722,453,39,0,58,47,10,1,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,18,14,4,0,0,3,3,0,0,,
714,WB,West Bengal,WB_Jhargram,Jhargram,6,0,6,0,0,0,0,0,0,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,9,2,6,1,0,2,2,0,0,,
716,WB,West Bengal,WB_Kolkata,Kolkata,2394,1195,970,229,0,99,92,0,7,,
717,WB,West Bengal,WB_Malda,Malda,153,76,77,0,0,10,6,4,0,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,108,41,65,2,0,5,-4,9,0,,
720,WB,West Bengal,WB_Nadia,Nadia,103,81,21,1,0,4,-2,6,0,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,869,521,303,45,0,42,41,1,0,,
0,WB,West Bengal,WB_Other State,Other State,60,43,14,3,0,1,1,0,0,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,57,33,22,2,0,1,1,0,0,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,54,26,27,1,0,2,2,0,0,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,105,56,49,0,0,6,-1,7,0,,
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,117,70,46,1,0,3,3,0,0,,
725,WB,West Bengal,WB_Purulia,Purulia,19,19,0,0,0,10,10,0,0,,
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,206,115,84,7,0,4,3,0,1,,
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,166,18,148,0,0,0,-118,118,0,,
728,AN,Andaman and Nicobar Islands,AN_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
729,AP,Andhra Pradesh,AP_Unknown,Unknown,0,-8,8,0,,0,0,0,0,,
730,AR,Arunachal Pradesh,AR_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
731,AS,Assam,AS_Unknown,Unknown,17,-50,67,0,,0,0,0,0,,
732,BR,Bihar,BR_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
733,CH,Chandigarh,CH_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
734,CT,Chhattisgarh,CT_Unknown,Unknown,2,2,0,0,,0,0,0,0,,
735,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
737,DL,Delhi,DL_Unknown,Unknown,22857,12701,9542,614,,0,0,0,0,,
738,GA,Goa,GA_Unknown,Unknown,55,5,50,0,,0,0,0,0,,
739,GJ,Gujarat,GJ_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
740,HR,Haryana,HR_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
741,HP,Himachal Pradesh,HP_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
742,JK,Jammu and Kashmir,JK_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
743,JH,Jharkhand,JH_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
744,KA,Karnataka,KA_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
745,KL,Kerala,KL_Unknown,Unknown,7,7,0,0,,0,0,0,0,,
746,LA,Ladakh,LA_Unknown,Unknown,0,-1,0,1,,0,0,0,0,,
747,LD,Lakshadweep,LD_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
748,MP,Madhya Pradesh,MP_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
749,MH,Maharashtra,MH_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
750,MN,Manipur,MN_Unknown,Unknown,28,10,18,0,,0,0,0,0,,
751,ML,Meghalaya,ML_Unknown,Unknown,5,5,0,0,,0,0,0,0,,
752,MZ,Mizoram,MZ_Unknown,Unknown,12,12,0,0,,0,0,0,0,,
753,NL,Nagaland,NL_Unknown,Unknown,9,9,0,0,,0,0,0,0,,
754,OR,Odisha,OR_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
755,PY,Puducherry,PY_Unknown,Unknown,6,6,0,0,,0,0,0,0,,
756,PB,Punjab,PB_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
757,RJ,Rajasthan,RJ_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
758,SK,Sikkim,SK_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
759,TN,Tamil Nadu,TN_Unknown,Unknown,0,-8,0,8,,0,0,0,0,,
760,TG,Telangana,TG_Unknown,Unknown,357,-717,1005,69,,0,0,0,0,,
761,TR,Tripura,TR_Unknown,Unknown,49,49,0,0,,0,0,0,0,,
762,UP,Uttar Pradesh,UP_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
763,UT,Uttarakhand,UT_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
764,WB,West Bengal,WB_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
